	sampleid	data.cluster
HC0017	HC0017	1
HC0018	HC0018	2
HC0021	HC0021	1
HC0026	HC0026	1
HC0027	HC0027	1
HC0028	HC0028	1
HC0029	HC0029	1
HC0030	HC0030	1
HC0031	HC0031	1
HC0040	HC0040	2
HC0042	HC0042	1
HC0043	HC0043	1
HC0044	HC0044	3
HC0048	HC0048	1
HC0050	HC0050	1
HC0053	HC0053	1
HC0056	HC0056	1
HC0057	HC0057	2
HC0059	HC0059	3
HC0060	HC0060	1
HC0061	HC0061	1
HC0063	HC0063	2
HC0064	HC0064	1
HC0065	HC0065	1
HC0068	HC0068	2
HC0069	HC0069	1
HC0070	HC0070	1
HC0074	HC0074	1
HC0075	HC0075	1
HC0076	HC0076	1
HC0077	HC0077	1
HC0078	HC0078	2
HC0079	HC0079	2
HC0082	HC0082	1
HC0083	HC0083	1
HC0087	HC0087	1
HC0088	HC0088	1
HC0089	HC0089	1
HC0091	HC0091	1
HC0092	HC0092	2
HC0094	HC0094	2
HC0105	HC0105	1
HC0108	HC0108	3
HC0115	HC0115	1
HC0116	HC0116	2
HC0117	HC0117	1
HC0119	HC0119	1
HC0120	HC0120	1
HC0122	HC0122	1
HC0123	HC0123	2
HC0124	HC0124	2
HC0125	HC0125	2
HC0126	HC0126	1
HC0127	HC0127	2
HC0129	HC0129	3
HC0130	HC0130	1
HC0135	HC0135	1
HC0138	HC0138	3
HC0140	HC0140	1
HC0143	HC0143	3
HC0144	HC0144	2
HC0145	HC0145	1
HC0147	HC0147	2
HC0149	HC0149	1
HC0150	HC0150	2
HC0152	HC0152	1
HC0153	HC0153	2
HC0156	HC0156	1
HC0159	HC0159	2
HC0161	HC0161	1
HC0162	HC0162	1
HC0163	HC0163	2
HC0164	HC0164	1
HC0165	HC0165	1
HC0171	HC0171	1
HC0172	HC0172	1
HC0176	HC0176	2
HC0178	HC0178	2
HC0179	HC0179	2
HC0180	HC0180	2
HC0181	HC0181	2
HC0182	HC0182	1
HC0183	HC0183	1
HC0184	HC0184	2
HC0185	HC0185	1
HC0187	HC0187	1
HC0188	HC0188	1
HC0189	HC0189	1
HC0190	HC0190	1
HC0193	HC0193	1
HC0194	HC0194	3
HC0196	HC0196	3
HC0197	HC0197	1
HC0199	HC0199	1
HC0200	HC0200	2
HC0203	HC0203	2
HC0206	HC0206	1
HC0210	HC0210	2
HC0211	HC0211	1
HC0212	HC0212	1
HC0214	HC0214	2
HC0215	HC0215	2
HC0216	HC0216	1
HC0217	HC0217	1
HC0218	HC0218	2
HC0225	HC0225	2
HC0227	HC0227	1
HC0230	HC0230	3
HC0232	HC0232	1
HC0238	HC0238	1
HC0244	HC0244	1
HC0245	HC0245	3
HC0247	HC0247	1
HC0249	HC0249	2
HC0251	HC0251	1
HC0258	HC0258	2
HC0272	HC0272	1
HC0276	HC0276	2
HC0278	HC0278	2
HC0279	HC0279	1
HC0281	HC0281	1
HC0282	HC0282	1
HC0286	HC0286	1
HC0287	HC0287	3
HC0289	HC0289	3
HC0293	HC0293	3
HC0296	HC0296	1
HC0297	HC0297	1
HC0300	HC0300	1
HC0302	HC0302	1
HC0304	HC0304	1
HC0305	HC0305	1
HC0315	HC0315	2
HC0318	HC0318	3
HC0319	HC0319	1
HC0320	HC0320	2
HC0321	HC0321	2
HC0322	HC0322	2
HC0323	HC0323	1
HC0324	HC0324	1
HC0325	HC0325	1
HC0326	HC0326	2
HC0381	HC0381	2
HC0401	HC0401	1
HC0402	HC0402	1
HC0404	HC0404	1
HC0410	HC0410	1
HC0411	HC0411	2
HC0412	HC0412	2
HC0429	HC0429	1
HC0430	HC0430	1
HC0431	HC0431	1
HC0433	HC0433	2
HC0439	HC0439	2
HC0441	HC0441	2
HC0446	HC0446	2
HC0501	HC0501	1
HC0502	HC0502	1
HC0503	HC0503	1
HC0505	HC0505	1
HC0595	HC0595	1
HC0596	HC0596	3
HC0597	HC0597	1
HC0598	HC0598	1
HC0599	HC0599	3
HC0600	HC0600	3
HC0601	HC0601	1
HC0602	HC0602	1
HC0603	HC0603	2
HC0605	HC0605	1
HC0606	HC0606	3
HC0607	HC0607	1
HC0608	HC0608	2
HC0609	HC0609	2
HC0610	HC0610	1
HC0611	HC0611	1
HC0612	HC0612	1
HC0613	HC0613	1
HC0614	HC0614	1
HC0615	HC0615	1
HC0616	HC0616	1
HC0617	HC0617	1
HC0618	HC0618	1
HC0619	HC0619	2
HC0620	HC0620	1
HC0621	HC0621	2
HC0622	HC0622	2
HC0623	HC0623	3
HC0625	HC0625	1
HC0626	HC0626	1
HC0627	HC0627	2
HC0628	HC0628	2
HC0629	HC0629	1
HC0630	HC0630	1
HC0631	HC0631	1
HC0632	HC0632	1
HC0633	HC0633	1
HC0634	HC0634	2
HC0635	HC0635	1
HC0636	HC0636	2
HC0637	HC0637	1
HC0638	HC0638	1
HC0639	HC0639	1
HC0640	HC0640	1
HC0641	HC0641	1
HC0642	HC0642	1
HC0643	HC0643	1
HC0644	HC0644	1
HC0645	HC0645	1
HC0646	HC0646	3
HC0647	HC0647	3
HC0648	HC0648	2
HC0650	HC0650	1
HC0651	HC0651	2
HC0652	HC0652	1
HC0653	HC0653	3
HC0654	HC0654	1
HC0655	HC0655	1
HC0656	HC0656	1
HC0657	HC0657	1
HC0658	HC0658	1
HC0659	HC0659	1
HC0660	HC0660	1
HC0661	HC0661	1
HC0663	HC0663	1
HC0664	HC0664	1
HC0665	HC0665	3
HC0666	HC0666	3
HC0667	HC0667	1
HC0668	HC0668	3
HC0669	HC0669	1
HC0670	HC0670	2
HC0671	HC0671	2
HC0672	HC0672	1
HC0673	HC0673	3
HC0674	HC0674	3
HC0675	HC0675	1
HC0676	HC0676	1
HC0677	HC0677	1
HC0678	HC0678	1
HC0680	HC0680	1
HC0681	HC0681	1
HC0682	HC0682	3
HC0683	HC0683	1
HC0684	HC0684	1
HC0685	HC0685	1
HC0686	HC0686	1
HC0687	HC0687	1
HC0688	HC0688	1
HC0689	HC0689	1
HC0690	HC0690	1
HC0691	HC0691	1
HC0692	HC0692	1
HC0693	HC0693	2
HC0694	HC0694	1
HC0695	HC0695	1
HC0696	HC0696	1
HC0697	HC0697	1
HC0698	HC0698	1
HC0699	HC0699	3
HC0700	HC0700	1
HC0701	HC0701	3
HC0702	HC0702	1
HC0703	HC0703	3
HC0704	HC0704	3
HC0705	HC0705	2
HC0706	HC0706	1
HC0707	HC0707	1
HC0708	HC0708	3
HC0709	HC0709	1
HC0710	HC0710	1
HC0711	HC0711	1
HC0712	HC0712	1
HC0713	HC0713	3
HC0715	HC0715	1
HC0716	HC0716	1
HC0717	HC0717	1
HC0718	HC0718	1
HC0719	HC0719	1
HC0720	HC0720	1
HC0721	HC0721	3
HC0722	HC0722	1
HC0723	HC0723	1
HC0724	HC0724	1
HC0725	HC0725	1
HC0727	HC0727	1
HC0728	HC0728	1
HC0729	HC0729	3
HC0730	HC0730	1
HC0731	HC0731	3
HC0732	HC0732	1
HC0733	HC0733	1
HC0734	HC0734	1
HC0735	HC0735	1
HC0736	HC0736	1
HC0737	HC0737	1
HC0738	HC0738	2
HC0739	HC0739	1
HC0740	HC0740	1
HC0742	HC0742	3
HC0743	HC0743	2
HC0744	HC0744	1
HC0745	HC0745	1
HC0746	HC0746	1
HC0747	HC0747	1
HC0748	HC0748	3
HC0749	HC0749	1
HC0751	HC0751	3
HC0752	HC0752	3
HC0753	HC0753	1
HC0754	HC0754	1
HC0755	HC0755	2
HC0756	HC0756	1
HC0757	HC0757	1
HC0758	HC0758	1
HC0759	HC0759	3
HC0760	HC0760	3
HC0761	HC0761	1
HC0762	HC0762	1
HC0764	HC0764	3
HC0765	HC0765	3
HC0766	HC0766	1
HC0767	HC0767	3
HC0768	HC0768	3
HC0769	HC0769	1
HC0770	HC0770	2
HC0771	HC0771	3
HC0772	HC0772	3
HC0773	HC0773	1
HC0774	HC0774	3
HC0775	HC0775	1
HC0776	HC0776	1
HC0777	HC0777	1
HC0778	HC0778	2
HC0779	HC0779	1
HC0780	HC0780	1
HC0781	HC0781	1
HC0782	HC0782	1
HC0783	HC0783	1
HC0784	HC0784	1
HC0786	HC0786	2
HC0787	HC0787	3
HC0788	HC0788	1
HC0789	HC0789	1
HC0790	HC0790	2
HC0792	HC0792	3
HC0793	HC0793	1
HC0794	HC0794	2
HC0795	HC0795	1
HC0797	HC0797	2
HC0798	HC0798	1
HC0799	HC0799	1
HC0800	HC0800	2
HC0801	HC0801	2
HC0802	HC0802	1
HC0803	HC0803	1
HC0804	HC0804	3
HC0805	HC0805	1
HC0807	HC0807	2
HC0808	HC0808	1
HC0809	HC0809	2
HC0810	HC0810	1
HC0811	HC0811	1
HC0812	HC0812	2
HC0813	HC0813	1
HC0814	HC0814	1
HC0816	HC0816	1
HC0817	HC0817	2
HC0818	HC0818	1
HC0819	HC0819	3
HC0820	HC0820	1
HC0821	HC0821	2
HC0822	HC0822	3
HC0823	HC0823	1
HC0824	HC0824	1
HC0825	HC0825	1
HC0826	HC0826	1
HC0827	HC0827	2
HC0828	HC0828	1
HC0829	HC0829	1
HC0830	HC0830	1
HC0831	HC0831	2
HC0832	HC0832	2
HC0833	HC0833	1
HC0834	HC0834	2
HC0835	HC0835	1
HC0836	HC0836	3
HC0837	HC0837	1
HC0838	HC0838	1
HC0839	HC0839	1
HC0840	HC0840	1
HC0841	HC0841	1
HC0842	HC0842	2
HC0843	HC0843	1
HC0844	HC0844	2
HC0845	HC0845	1
HC0846	HC0846	1
HC0847	HC0847	1
HC0848	HC0848	1
HC0849	HC0849	1
HC0850	HC0850	2
HC0851	HC0851	1
HC0852	HC0852	2
HC0853	HC0853	1
HC0854	HC0854	3
HC0855	HC0855	1
HC0856	HC0856	1
HC0857	HC0857	1
HC0858	HC0858	1
HC0859	HC0859	1
HC0860	HC0860	1
HC0861	HC0861	3
HC0862	HC0862	2
HC0863	HC0863	1
HC0864	HC0864	3
HC0865	HC0865	2
HC0868	HC0868	1
HC0869	HC0869	2
HC0870	HC0870	1
HC0871	HC0871	3
HC0872	HC0872	1
HC0873	HC0873	1
HC0874	HC0874	3
HC0875	HC0875	2
HC0876	HC0876	1
HC0877	HC0877	2
HC0878	HC0878	1
HC0879	HC0879	1
HC0880	HC0880	1
HC0881	HC0881	1
HC0882	HC0882	2
HC0883	HC0883	3
HC0884	HC0884	3
HC0885	HC0885	1
HC0886	HC0886	3
HC0887	HC0887	1
HC0888	HC0888	2
HC0889	HC0889	3
HC0890	HC0890	3
HC0891	HC0891	2
HC0892	HC0892	2
HC0893	HC0893	1
HC0894	HC0894	1
HC0895	HC0895	1
HC0896	HC0896	1
HC0897	HC0897	1
HC0898	HC0898	2
HC0899	HC0899	1
HC0900	HC0900	1
HC0901	HC0901	1
HC0902	HC0902	1
HC0904	HC0904	2
HC0905	HC0905	1
HC0906	HC0906	1
HC0907	HC0907	1
HC0908	HC0908	2
HC0909	HC0909	2
HC0910	HC0910	1
HC0911	HC0911	1
HC0912	HC0912	1
HC0913	HC0913	2
HC0914	HC0914	1
HC0915	HC0915	1
HC0916	HC0916	1
HC0917	HC0917	1
HC0918	HC0918	1
HC0919	HC0919	1
HC0920	HC0920	1
HC0921	HC0921	2
HC0922	HC0922	1
HC0923	HC0923	3
HC0924	HC0924	1
HC0925	HC0925	1
HC0926	HC0926	1
HC0928	HC0928	1
HC0929	HC0929	1
HC0930	HC0930	1
HC0931	HC0931	1
HC0932	HC0932	1
HC0933	HC0933	1
HC0934	HC0934	1
HC0935	HC0935	3
HC0936	HC0936	1
HC0937	HC0937	1
HC0938	HC0938	1
HC0939	HC0939	1
HC0940	HC0940	2
HC0941	HC0941	1
HC0942	HC0942	1
HC0943	HC0943	2
HC0944	HC0944	3
HC0945	HC0945	2
HC0946	HC0946	1
HC0947	HC0947	2
HC0948	HC0948	1
HC0949	HC0949	2
HC0950	HC0950	1
HC0951	HC0951	1
HC0952	HC0952	3
HC0953	HC0953	2
HC0954	HC0954	3
HC0956	HC0956	1
HC0957	HC0957	1
HC0958	HC0958	1
HC0959	HC0959	2
HC0960	HC0960	1
HC0961	HC0961	1
HC0962	HC0962	1
HC0963	HC0963	1
HC0964	HC0964	1
HC0965	HC0965	1
HC0966	HC0966	1
HC0967	HC0967	1
HC0969	HC0969	1
HC0970	HC0970	2
HC0971	HC0971	1
HC0972	HC0972	1
HC0973	HC0973	1
HC0974	HC0974	1
HC0975	HC0975	1
HC0976	HC0976	2
HC0978	HC0978	1
HC0981	HC0981	1
HC0982	HC0982	2
HC0983	HC0983	3
HC0984	HC0984	1
HC0985	HC0985	1
HC0986	HC0986	1
HC0987	HC0987	1
HC0988	HC0988	1
HC0989	HC0989	1
HC0990	HC0990	1
HC0991	HC0991	1
HC0993	HC0993	1
HC0995	HC0995	2
HC0996	HC0996	1
HC0997	HC0997	2
HC0998	HC0998	1
HC0999	HC0999	1
HC100	HC100	3
HC1000	HC1000	1
HC1001	HC1001	3
HC1002	HC1002	1
HC1003	HC1003	1
HC1004	HC1004	3
HC1005	HC1005	3
HC1006	HC1006	1
HC1007	HC1007	2
HC1008	HC1008	1
HC1009	HC1009	1
HC1010	HC1010	2
HC1011	HC1011	3
HC1012	HC1012	1
HC1013	HC1013	3
HC1015	HC1015	1
HC1016	HC1016	1
HC1017	HC1017	2
HC1018	HC1018	3
HC1019	HC1019	1
HC1020	HC1020	1
HC1021	HC1021	1
HC1022	HC1022	3
HC1024	HC1024	1
HC1025	HC1025	1
HC1027	HC1027	2
HC1028	HC1028	2
HC1029	HC1029	3
HC1030	HC1030	3
HC1031	HC1031	1
HC1032	HC1032	1
HC1033	HC1033	3
HC1034	HC1034	1
HC1035	HC1035	2
HC1036	HC1036	1
HC1037	HC1037	1
HC1038	HC1038	1
HC1039	HC1039	3
HC1040	HC1040	3
HC1041	HC1041	1
HC1042	HC1042	1
HC1043	HC1043	1
HC1044	HC1044	1
HC1045	HC1045	1
HC1046	HC1046	1
HC1047	HC1047	2
HC1048	HC1048	3
HC1049	HC1049	2
HC1050	HC1050	1
HC1051	HC1051	1
HC1052	HC1052	1
HC1053	HC1053	1
HC1054	HC1054	1
HC1055	HC1055	2
HC1056	HC1056	1
HC1057	HC1057	1
HC1058	HC1058	1
HC1059	HC1059	1
HC1060	HC1060	3
HC1061	HC1061	1
HC1062	HC1062	2
HC1063	HC1063	1
HC1064	HC1064	1
HC1065	HC1065	1
HC1066	HC1066	2
HC1067	HC1067	1
HC1068	HC1068	1
HC1069	HC1069	1
HC1070	HC1070	2
HC1071	HC1071	2
HC1072	HC1072	1
HC1073	HC1073	3
HC1074	HC1074	1
HC1075	HC1075	1
HC1076	HC1076	2
HC1077	HC1077	1
HC1078	HC1078	1
HC1079	HC1079	1
HC1080	HC1080	3
HC1081	HC1081	1
HC1082	HC1082	3
HC1083	HC1083	1
HC1084	HC1084	1
HC1085	HC1085	1
HC1086	HC1086	2
HC1087	HC1087	1
HC1088	HC1088	1
HC1089	HC1089	1
HC1090	HC1090	1
HC1093	HC1093	1
HC1094	HC1094	2
HC1095	HC1095	1
HC1096	HC1096	1
HC1097	HC1097	1
HC1099	HC1099	1
HC1100	HC1100	1
HC1101	HC1101	1
HC1103	HC1103	1
HC1104	HC1104	1
HC1105	HC1105	2
HC1106	HC1106	2
HC1107	HC1107	1
HC1108	HC1108	1
HC1109	HC1109	1
HC1110	HC1110	1
HC1112	HC1112	1
HC1113	HC1113	2
HC1114	HC1114	3
HC1115	HC1115	1
HC1116	HC1116	1
HC1117	HC1117	1
HC1118	HC1118	3
HC1119	HC1119	3
HC1120	HC1120	2
HC1121	HC1121	1
HC1122	HC1122	1
HC1123	HC1123	1
HC1124	HC1124	3
HC1125	HC1125	3
HC1126	HC1126	3
HC1127	HC1127	3
HC1128	HC1128	1
HC1129	HC1129	2
HC1130	HC1130	1
HC1131	HC1131	1
HC1132	HC1132	1
HC1133	HC1133	2
HC1134	HC1134	1
HC1135	HC1135	1
HC1136	HC1136	2
HC1137	HC1137	2
HC1138	HC1138	1
HC1139	HC1139	1
HC1140	HC1140	3
HC1141	HC1141	3
HC1142	HC1142	1
HC1144	HC1144	2
HC1145	HC1145	2
HC1146	HC1146	3
HC1147	HC1147	1
HC1148	HC1148	2
HC1149	HC1149	3
HC1150	HC1150	1
HC1151	HC1151	1
HC1152	HC1152	1
HC1153	HC1153	3
HC1154	HC1154	1
HC1155	HC1155	2
HC1156	HC1156	3
HC1157	HC1157	1
HC1159	HC1159	2
HC1160	HC1160	1
HC1161	HC1161	1
HC1162	HC1162	1
HC1163	HC1163	1
HC1164	HC1164	1
HC1165	HC1165	1
HC1166	HC1166	3
HC1167	HC1167	2
HC1168	HC1168	1
HC1169	HC1169	3
HC1170	HC1170	2
HC1171	HC1171	1
HC1172	HC1172	2
HC1173	HC1173	3
HC1174	HC1174	3
HC1175	HC1175	2
HC1176	HC1176	3
HC1177	HC1177	1
HC1178	HC1178	1
HC1179	HC1179	1
HC1180	HC1180	3
HC1182	HC1182	1
HC1183	HC1183	1
HC1185	HC1185	1
HC1186	HC1186	1
HC1187	HC1187	2
HC1188	HC1188	1
HC1189	HC1189	1
HC1190	HC1190	1
HC1191	HC1191	1
HC1193	HC1193	1
HC1194	HC1194	2
HC1195	HC1195	3
HC1196	HC1196	2
HC1197	HC1197	3
HC1198	HC1198	1
HC1199	HC1199	1
HC1200	HC1200	1
HC1201	HC1201	1
HC1202	HC1202	1
HC1203	HC1203	2
HC1204	HC1204	2
HC1205	HC1205	1
HC1206	HC1206	1
HC1207	HC1207	3
HC1209	HC1209	2
HC1210	HC1210	3
HC1211	HC1211	3
HC1212	HC1212	1
HC1213	HC1213	1
HC1214	HC1214	1
HC1215	HC1215	1
HC1216	HC1216	1
HC1217	HC1217	1
HC1218	HC1218	2
HC1219	HC1219	1
HC1220	HC1220	1
HC1221	HC1221	1
HC1224	HC1224	2
HC1225	HC1225	2
HC1226	HC1226	1
HC1227	HC1227	3
HC1228	HC1228	1
HC1229	HC1229	1
HC1230	HC1230	1
HC1231	HC1231	1
HC1232	HC1232	1
HC1233	HC1233	1
HC1234	HC1234	3
HC1235	HC1235	1
HC1236	HC1236	1
HC1237	HC1237	1
HC1238	HC1238	1
HC1239	HC1239	2
HC1240	HC1240	1
HC1241	HC1241	1
HC1242	HC1242	1
HC1243	HC1243	1
HC1244	HC1244	1
HC1245	HC1245	3
HC1246	HC1246	2
HC1247	HC1247	1
HC1249	HC1249	1
